1;Abacavir;Ziagen;Comprimido revestido por película;300 mg;Autorizado;N;ViiV Healthcare UK Ltd.
2;Abacavir;Ziagen;Solução oral;20 mg/ml;Autorizado;N;ViiV Healthcare UK Ltd.
3;Abacavir + Lamivudina;Kivexa;Comprimido revestido por película;600 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.
4;Abacavir + Lamivudina + Zidovudina;Abacavir + Lamivudina + Zidovudina Teva;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.
5;Abacavir + Lamivudina + Zidovudina;Trizivir;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.
6;Abatacept;Orencia;Pó para concentrado para solução para perfusão;250 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG
7;Abatacept;Orencia;Solução injetável em caneta pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG
8;Abatacept;Orencia;Solução injetável em seringa pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG
9;Abciximab;Reopro;Solução injetável;10 mg/5 ml;Autorizado;N;Janssen Biologics B.V.
10;Abiraterona;Zytiga;Comprimido;250 mg;Autorizado;N;Janssen-Cilag International N.V.
11;Acamprosato;Campral;Comprimido gastrorresistente;333 mg;Autorizado;N;Merck Santé S.A.S.
12;Acarbose;Acarbose Bluepharma;Comprimido;100 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.
13;Acarbose;Acarbose Bluepharma;Comprimido;50 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.
14;Acarbose;Acarbose Bluesar;Comprimido;100 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.
15;Acarbose;Acarbose Bluesar;Comprimido;50 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.
16;Acarbose;Acarbose DNA Pharma;Comprimido;100 mg;Autorizado;S;DNA Pharma, Lda.
17;Acarbose;Acarbose DNA Pharma;Comprimido;50 mg;Autorizado;S;DNA Pharma, Lda.
18;Acarbose;Acarbose Establix;Comprimido;100 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.
19;Acarbose;Acarbose Establix;Comprimido;50 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.
20;Acarbose;Acarbose Farmoz;Comprimido;100 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.
21;Acarbose;Acarbose Farmoz;Comprimido;50 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.
22;Acarbose;Acarbose Friulchem;Comprimido;100 mg;Autorizado;S;Friulchem S.p.A.
23;Acarbose;Acarbose Friulchem;Comprimido;50 mg;Autorizado;S;Friulchem S.p.A.
24;Acarbose;Acarbose Generis;Comprimido;100 mg;Autorizado;S;Generis Farmacêutica, S.A.
25;Acarbose;Acarbose Generis;Comprimido;50 mg;Autorizado;S;Generis Farmacêutica, S.A.
26;Acarbose;Acarbose Labesfal;Comprimido;100 mg;Autorizado;S;Labesfal Genéricos, S.A
